vin,make,model,year,customer_id
VIN00000000000001,Toyota,Camry,2010,1
VIN00000000000002,Toyota,Corolla,2011,1
VIN00000000000003,Ford,Focus,2012,1
VIN00000000000004,Honda,Civic,2013,1
VIN00000000000005,Honda,Accord,2014,1
VIN00000000000006,Chevy,Malibu,2015,1
VIN00000000000007,Nissan,Altima,2016,1
VIN00000000000008,BMW,328i,2017,1
VIN00000000000009,Audi,A4,2018,1
VIN00000000000010,Mercedes,C300,2019,1
VIN00000000000011,Kia,Optima,2020,1
VIN00000000000012,Hyundai,Sonata,2021,1
VIN00000000000013,Mazda,Mazda3,2010,1
VIN00000000000014,Subaru,Impreza,2011,1
VIN00000000000015,VW,Jetta,2012,1
VIN00000000000016,Dodge,Charger,2013,1
VIN00000000000017,Jeep,Wrangler,2014,1
VIN00000000000018,Ford,Mustang,2015,1
VIN00000000000019,Chevy,Camaro,2016,1
VIN00000000000020,Nissan,Maxima,2017,1
VIN00000000000021,Toyota,Prius,2018,1
VIN00000000000022,Honda,CRV,2022,2
VINOLD1990LOWMILE,Ford,Bronco,1990,3